split,random_seed,fold,heldout_scenario,heldout_config,method,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,test_count,protocol,run_dir
leave_scenario_out,22,holdout_Comms,Comms,,direct_rf,10.13336832470581,7.934593362882617,6.270430555555535,17.763809523809527,20.29945238095237,-4.260483268088755,9.194206650194827,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Comms,Comms,,direct_extra,10.939719561167696,8.516624147159185,6.610833333333304,19.394999999999985,21.94648409090909,-4.77873589994249,9.8407899721311,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Comms,Comms,,wallpath_residual_extra,10.720876157991096,8.377795030593612,6.864678283008999,17.137494031770878,20.98491555726374,5.446717359223104,9.234200322914791,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Comms,Comms,,wallpath_residual_rf,11.040430583638036,8.54968345988532,6.851407959541177,18.37935325445251,22.022116443358914,5.518708998735149,9.56216285467936,1387,901,1387,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Library,Library,,log_distance,15.38199404245583,13.92357849832046,14.55296764793465,22.44472939058985,24.31860957990501,13.562103252874635,7.257761092824277,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Library,Library,,multi_wall_linear,11.276905352139998,9.544031692207565,9.054897061054234,18.063514394706203,20.750227926345687,8.595170252511052,7.30011250950784,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Library,Library,,direct_rf,12.635939529496891,10.80624091629002,10.45768452380952,19.95038065476189,21.9918964285714,10.105958014740372,7.585287100526058,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Library,Library,,direct_extra,12.005864709177594,10.300531353151682,9.932621212121193,18.534626190476157,20.56603750000001,9.506495884828777,7.332620500667518,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Library,Library,,wallpath_residual_extra,11.71478048746046,9.826673753240318,9.336696948643764,18.47473852301293,21.14271960754273,8.94137258291511,7.56887958702464,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_Library,Library,,wallpath_residual_rf,11.698887211370916,9.72333343586753,8.915068440698889,18.57274372786117,21.82066732233461,8.678215972125718,7.845542016044527,687,1601,687,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
leave_scenario_out,22,holdout_SSE,SSE,,log_distance,7.6452516112722115,6.211411661632073,5.58568355615229,12.611787093237592,14.43136012399613,-2.248830304331704,7.307026376165596,214,2074,214,leave_scenario_out,results\external_3p5ghz_leave_scenario_out_seed22
