protocol,method,num_seeds,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,median_ae_mean,median_ae_std,median_ae_min,median_ae_max,p90_ae_mean,p90_ae_std,p90_ae_min,p90_ae_max,p95_ae_mean,p95_ae_std,p95_ae_min,p95_ae_max,bias_db_mean,bias_db_std,bias_db_min,bias_db_max,std_error_db_mean,std_error_db_std,std_error_db_min,std_error_db_max,summary_type,rank
leave_config_out,log_distance,3,10.148812855111771,0.0,10.148812855111771,10.148812855111771,8.360766493468521,0.0,8.360766493468521,8.360766493468521,7.582219249055662,0.0,7.582219249055662,7.582219249055662,16.41345126278437,0.0,16.41345126278437,16.41345126278437,19.06242694418811,0.0,19.06242694418811,19.06242694418811,0.0547390394236962,0.0,0.0547390394236962,0.0547390394236962,10.148665232711387,0.0,10.148665232711387,10.148665232711387,pooled_point_level,6
leave_scenario_out,multi_wall_linear,3,10.18498180961411,0.0,10.18498180961411,10.18498180961411,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,1
leave_scenario_out,wallpath_residual_extra,3,10.81963173007751,0.004952170594665707,10.816356970835045,10.82532878425794,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,2
leave_scenario_out,wallpath_residual_rf,3,10.877130177457751,0.0414925254504542,10.842902875806727,10.92327826532833,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,3
leave_scenario_out,direct_extra,3,10.932174538969862,0.040490957928152826,10.903307160079931,10.978459813947707,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,4
leave_scenario_out,direct_rf,3,10.947588873764149,0.04960855032735892,10.90274361886356,11.000877106671943,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,5
leave_scenario_out,log_distance,3,12.890218993880623,0.0,12.890218993880623,12.890218993880623,,,,,,,,,,,,,,,,,,,,,,,,,macro_equal_fold,6
leave_scenario_out,multi_wall_linear,3,10.082889508176178,0.0,10.082889508176178,10.082889508176178,8.108078792632682,0.0,8.108078792632682,8.108078792632682,7.035666287057936,0.0,7.035666287057936,7.035666287057936,16.208215730275843,0.0,16.208215730275843,16.208215730275843,20.01722303503161,0.0,20.01722303503161,20.01722303503161,4.711608308110698,0.0,4.711608308110698,4.711608308110698,8.914337215128867,0.0,8.914337215128867,8.914337215128867,pooled_point_level,1
leave_scenario_out,direct_rf,3,10.892102090072568,0.05918976428241196,10.835747170565446,10.953768659717507,8.76939340136563,0.03838414089500972,8.729811241489923,8.80645531616832,7.511100198412682,0.025561795262125916,7.482083333333335,7.530290674603165,18.345601058201073,0.12413995360147691,18.20379761904762,18.434656746031777,20.945738783670052,0.13937327933201618,20.8500015873016,21.10563730158732,0.1524313796360224,0.04863448135693171,0.0962809036261855,0.1813164384601875,10.890961002016892,0.05974710736017865,10.834257049084128,10.953345508939558,pooled_point_level,2
leave_scenario_out,wallpath_residual_extra,3,10.9568745090779,0.010387178822042568,10.948997657495786,10.968646190306265,8.75025158903187,0.01145005783256239,8.742145164969255,8.76335014467505,7.53099226869183,0.03955441705523735,7.5077279630452125,7.576663090270912,17.73309955966811,0.037981463595057816,17.694228060053174,17.770123557401032,21.111331743842847,0.08969533871649024,21.036297215975136,21.210676335943283,5.58994377556444,0.022344472843248357,5.574238959439248,5.615524537456372,9.423659303886842,0.004242049262888342,9.420371156101282,9.428447585955618,pooled_point_level,3
leave_scenario_out,wallpath_residual_rf,3,11.100157555248705,0.04962076627546867,11.055069258641156,11.153320400088043,8.79281391422988,0.041645561171136616,8.75828891520843,8.839065568560736,7.422632047917998,0.030998956141349215,7.392004657318374,7.453989667009914,18.18337805302208,0.1490909613963035,18.033243133739983,18.331402652678296,21.868212625423883,0.07937002620852845,21.78008807099782,21.93407279796532,5.51600575519558,0.057483958263521845,5.465388595168,5.578500794985733,9.632560570639738,0.02429988506828595,9.609582915879349,9.657995901187974,pooled_point_level,4
