protocol,random_seed,fold,method,baseline,method_rmse,baseline_rmse,rmse_difference_db,rmse_improvement_percent,rmse_winner,method_mae,baseline_mae,mae_improvement_percent
leave_config_out,22,holdout_C1,wallpath_residual_extra,multi_wall_linear,6.8661572071366574,7.016972195591359,0.15081498845470165,2.1492886711088306,wallpath_residual_extra,5.539214580978352,5.77653340062394,4.108325931603797
leave_config_out,22,holdout_C2,wallpath_residual_extra,multi_wall_linear,7.221533060947868,7.7453819702794755,0.5238489093316074,6.7633708878621706,wallpath_residual_extra,5.705823871550839,6.049466264556273,5.680540695281316
leave_config_out,33,holdout_C1,wallpath_residual_extra,multi_wall_linear,6.869164174381812,7.016972195591359,0.1478080212095474,2.1064358969872017,wallpath_residual_extra,5.5418040877740005,5.77653340062394,4.063497890007625
leave_config_out,33,holdout_C2,wallpath_residual_extra,multi_wall_linear,7.219849717467243,7.7453819702794755,0.5255322528122326,6.785104399354366,wallpath_residual_extra,5.707712176997958,6.049466264556273,5.649326281239819
leave_scenario_out,11,holdout_Comms,wallpath_residual_rf,direct_rf,10.920725068625824,10.067418871966405,-0.8533061966594193,-8.475918281651357,direct_rf,8.446297698645221,7.924190631566626,-6.58877469452516
leave_scenario_out,11,holdout_Library,wallpath_residual_rf,direct_rf,11.6285325766031,12.560354595222991,0.9318220186198918,7.418755669320724,wallpath_residual_rf,9.672083376388835,10.71423485842126,9.726793334321084
leave_scenario_out,11,holdout_SSE,wallpath_residual_rf,direct_rf,9.979450982191258,10.189664220081442,0.21021323789018354,2.0630045637411927,wallpath_residual_rf,7.846863786901098,8.030872286604218,2.2912641757490393
leave_scenario_out,22,holdout_Comms,wallpath_residual_rf,direct_rf,11.040430583638036,10.13336832470581,-0.9070622589322266,-8.951241382598814,direct_rf,8.54968345988532,7.934593362882617,-7.752005287127195
leave_scenario_out,22,holdout_Library,wallpath_residual_rf,direct_rf,11.698887211370916,12.635939529496891,0.9370523181259749,7.415770833174321,wallpath_residual_rf,9.72333343586753,10.80624091629002,10.021130278430547
leave_scenario_out,22,holdout_SSE,wallpath_residual_rf,direct_rf,10.030517000976037,10.233323465813127,0.20280646483709042,1.9818240429378988,wallpath_residual_rf,7.875892483948746,8.03738906347514,2.009316436606192
leave_scenario_out,33,holdout_Comms,wallpath_residual_rf,direct_rf,10.95894127415388,9.950932365204286,-1.0080089089495932,-10.129793590742583,direct_rf,8.466324716887106,7.827078675915326,-8.167108923266635
leave_scenario_out,33,holdout_Library,wallpath_residual_rf,direct_rf,11.679050429894788,12.611794490610311,0.9327440607155228,7.395807641886062,wallpath_residual_rf,9.709861269538422,10.7765296135573,9.898069065545615
leave_scenario_out,33,holdout_SSE,wallpath_residual_rf,direct_rf,9.95763646966592,10.145504000776084,0.18786753111016452,1.8517318715343616,wallpath_residual_rf,7.839535392124898,8.010159591217395,2.13009737383479
leave_scenario_out,11,holdout_Comms,wallpath_residual_extra,direct_rf,10.668145339614872,10.067418871966405,-0.6007264676484674,-5.9670355956007946,direct_rf,8.329172791041909,7.924190631566626,-5.110706926484144
leave_scenario_out,11,holdout_Library,wallpath_residual_extra,direct_rf,11.770240749675406,12.560354595222991,0.7901138455475856,6.290537735678936,wallpath_residual_extra,9.869265235447346,10.71423485842126,7.8864205810252415
leave_scenario_out,11,holdout_SSE,wallpath_residual_extra,direct_rf,10.013242216128363,10.189664220081442,0.1764220039530784,1.7313819193903557,wallpath_residual_extra,7.83367177907077,8.030872286604218,2.455530364520741
leave_scenario_out,22,holdout_Comms,wallpath_residual_extra,direct_rf,10.720876157991096,10.13336832470581,-0.5875078332852866,-5.797754650375278,direct_rf,8.377795030593612,7.934593362882617,-5.585688483851693
leave_scenario_out,22,holdout_Library,wallpath_residual_extra,direct_rf,11.71478048746046,12.635939529496891,0.9211590420364306,7.289992484421989,wallpath_residual_extra,9.826673753240318,10.80624091629002,9.064828099224039
leave_scenario_out,22,holdout_SSE,wallpath_residual_extra,direct_rf,10.040329707322256,10.233323465813127,0.19299375849087141,1.8859343119135574,wallpath_residual_extra,7.848684836948934,8.03738906347514,2.3478299362631168
leave_scenario_out,33,holdout_Comms,wallpath_residual_extra,direct_rf,10.681776050153893,9.950932365204286,-0.7308436849496065,-7.344474448496594,direct_rf,8.341514044860427,7.827078675915326,-6.5725079591708715
leave_scenario_out,33,holdout_Library,wallpath_residual_extra,direct_rf,11.725200429260935,12.611794490610311,0.8865940613493759,7.029880339466836,wallpath_residual_extra,9.823167143273102,10.7765296135573,8.846655690388769
leave_scenario_out,33,holdout_SSE,wallpath_residual_extra,direct_rf,10.04209443309031,10.145504000776084,0.10340956768577314,1.0192649638486446,wallpath_residual_extra,7.868375372895429,8.010159591217395,1.7700548498112711
leave_scenario_out,11,holdout_Comms,wallpath_residual_rf,multi_wall_linear,10.920725068625824,9.482231582019024,-1.4384934866068004,-15.17041082749538,multi_wall_linear,8.446297698645221,7.445694747385867,-13.438678124840662
leave_scenario_out,11,holdout_Library,wallpath_residual_rf,multi_wall_linear,11.6285325766031,11.276905352139998,-0.35162722446310113,-3.118118078346498,multi_wall_linear,9.672083376388835,9.544031692207565,-1.341693828257313
