method,sparse_rate,sparse_seed,feature,importance
wallpath_rf,0.05,22,anchor_residual_nn_3,0.011799458855008752
wallpath_rf,0.05,22,anchor_residual_nn_4,0.007482175072745656
wallpath_rf,0.05,22,anchor_dist_px_nn_1,0.002385205511265024
wallpath_rf,0.05,22,anchor_dist_px_nn_2,0.0014713898480078606
wallpath_rf,0.05,22,anchor_dist_px_nn_3,0.0013833384747935688
wallpath_rf,0.05,22,anchor_dist_px_nn_4,0.0015536097543034798
wallpath_rf,0.05,22,anchor_density,0.0011634810081870021
wallpath_extra,0.05,22,x_norm,0.0013653170270289253
wallpath_extra,0.05,22,y_norm,0.0013851482650520592
wallpath_extra,0.05,22,distance_m,0.001123739488854996
wallpath_extra,0.05,22,log10_distance_m,0.0018125270014065806
wallpath_extra,0.05,22,fspl_db,0.0016797937917264404
wallpath_extra,0.05,22,los,0.00031672099279576914
wallpath_extra,0.05,22,wall_count,0.00782054307881481
wallpath_extra,0.05,22,wall_fraction,0.005046460712640268
wallpath_extra,0.05,22,mat_1_count,0.007604595934278898
wallpath_extra,0.05,22,mat_2_count,0.001032459236062551
wallpath_extra,0.05,22,mat_3_count,0.0015905646262222956
wallpath_extra,0.05,22,transmittance_sum,0.006738902535136908
wallpath_extra,0.05,22,reflectance_sum,0.004793044369189318
wallpath_extra,0.05,22,fspl_pred_db,0.001417178989276694
wallpath_extra,0.05,22,log_distance_pred_db,0.005763748815401189
wallpath_extra,0.05,22,multi_wall_pred_db,0.012945885608355403
wallpath_extra,0.05,22,multi_wall_residual_idw_pred_db,0.015784646249834382
wallpath_extra,0.05,22,anchor_residual_idw,0.2692845672030439
wallpath_extra,0.05,22,anchor_residual_nn_1,0.22983577543203135
wallpath_extra,0.05,22,anchor_residual_nn_2,0.155889702177149
wallpath_extra,0.05,22,anchor_residual_nn_3,0.15345666664031793
wallpath_extra,0.05,22,anchor_residual_nn_4,0.10511828444806588
wallpath_extra,0.05,22,anchor_dist_px_nn_1,0.0026990479728838503
wallpath_extra,0.05,22,anchor_dist_px_nn_2,0.0013807182934123903
wallpath_extra,0.05,22,anchor_dist_px_nn_3,0.0012344904362939007
wallpath_extra,0.05,22,anchor_dist_px_nn_4,0.0012812467486028112
wallpath_extra,0.05,22,anchor_density,0.001598223926121701
wallpath_calibrated,0.05,22,x_norm,0.014212763777054025
wallpath_calibrated,0.05,22,y_norm,0.014132466148282263
wallpath_calibrated,0.05,22,distance_m,0.013676907437470059
wallpath_calibrated,0.05,22,log10_distance_m,0.017234271631221362
wallpath_calibrated,0.05,22,fspl_db,0.017954628232420274
wallpath_calibrated,0.05,22,los,0.006468709414591508
wallpath_calibrated,0.05,22,wall_count,0.05658478118295981
wallpath_calibrated,0.05,22,wall_fraction,0.030965103231089156
wallpath_calibrated,0.05,22,mat_1_count,0.06488550666338175
wallpath_calibrated,0.05,22,mat_2_count,0.008037264278975166
wallpath_calibrated,0.05,22,mat_3_count,0.01441173167780034
wallpath_calibrated,0.05,22,transmittance_sum,0.05710726075819518
wallpath_calibrated,0.05,22,reflectance_sum,0.039533958338393085
wallpath_calibrated,0.05,22,fspl_pred_db,0.017735648536367367
wallpath_calibrated,0.05,22,log_distance_pred_db,0.10875193124355048
wallpath_calibrated,0.05,22,multi_wall_pred_db,0.23795247873459346
wallpath_calibrated,0.05,22,multi_wall_residual_idw_pred_db,0.1802280047870411
wallpath_calibrated,0.05,22,anchor_dist_px_nn_1,0.046351726817903456
wallpath_calibrated,0.05,22,anchor_dist_px_nn_2,0.014094844462718388
wallpath_calibrated,0.05,22,anchor_dist_px_nn_3,0.010472546891034188
wallpath_calibrated,0.05,22,anchor_dist_px_nn_4,0.010061527720771488
wallpath_calibrated,0.05,22,anchor_density,0.019145938034186225
