task,scope,building,baseline_method,metric,num_valid_maps,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,building_winner
task2,overall,24,direct_rf_all_features,p90_ae,150,7.579686326980591,7.7384370512432525,0.15875072426266143,0.030036211013793945,2.05145720268096,0.56,wallpath_extra
task2,overall,24,direct_rf_all_features,rmse,150,4.533556583875944,4.618934699160918,0.08537811528497447,0.0300921096252873,1.8484373745418803,0.6266666666666667,wallpath_extra
task2,overall,24,direct_rf_all_features,wall_region_rmse,150,6.440432429178837,6.214274878660749,-0.22615755051808795,-0.10507654577645997,-3.639323250644931,0.3,baseline
task2,overall,24,multi_wall_residual_idw,free_space_rmse,150,4.403989364238558,5.255630792558258,0.8516414283196996,0.8100408031915891,16.204361796600843,0.9933333333333333,wallpath_extra
task2,overall,24,multi_wall_residual_idw,high_wall_rmse,150,4.8116695748671905,5.660502177466068,0.8488326025988772,0.7238590364971247,14.995711970185274,0.9933333333333333,wallpath_extra
task2,overall,24,multi_wall_residual_idw,los_rmse,146,2.739844599148385,5.117113792712429,2.377269193564044,2.108432942344258,46.457227450162385,1.0,wallpath_extra
task2,overall,24,multi_wall_residual_idw,mae,150,3.0144671527544658,3.826500803364648,0.812033650610182,0.7603381872177124,21.221311384441883,0.9933333333333333,wallpath_extra
task2,overall,24,multi_wall_residual_idw,nlos_rmse,150,4.6840987556799165,5.528484978764421,0.8443862230845046,0.7496494892753232,15.273374646542303,0.9933333333333333,wallpath_extra
task2,overall,24,multi_wall_residual_idw,non_anchor_rmse,150,4.554405729036209,5.449549796870114,0.895144067833905,0.8348799415377326,16.426018684112595,0.9933333333333333,wallpath_extra
task2,overall,24,multi_wall_residual_idw,p90_ae,150,7.579686326980591,8.569279606077405,0.9895932790968154,0.9515604178110757,11.548150189836104,0.98,wallpath_extra
task2,overall,24,multi_wall_residual_idw,rmse,150,4.533556583875944,5.422211230609789,0.8886546467338448,0.8294471937473076,16.38915580634629,0.9933333333333333,wallpath_extra
task2,overall,24,multi_wall_residual_idw,wall_region_rmse,150,6.440432429178837,7.555132894881849,1.1147004657030122,0.6472426684827979,14.754213873036637,0.9866666666666667,wallpath_extra
task2,overall,25,direct_extra_all_features,free_space_rmse,150,5.402047174372005,6.026189072400206,0.6241418980282012,0.2938637505653676,10.357157575535675,0.72,wallpath_extra
task2,overall,25,direct_extra_all_features,high_wall_rmse,150,5.772000646072105,6.4137252107048415,0.6417245646327371,0.29096506731191285,10.005488909341864,0.7,wallpath_extra
task2,overall,25,direct_extra_all_features,los_rmse,127,3.1018643783445214,2.391121971787297,-0.7107424065572244,-0.5377808658382679,-29.724222141038016,0.29133858267716534,baseline
task2,overall,25,direct_extra_all_features,mae,150,3.826813051435683,4.369868948989445,0.5430558975537618,0.31736234823862697,12.427281089959148,0.76,wallpath_extra
task2,overall,25,direct_extra_all_features,nlos_rmse,150,5.62439948272433,6.230138427611153,0.6057389448868231,0.2507256490127694,9.722720480852681,0.68,wallpath_extra
task2,overall,25,direct_extra_all_features,non_anchor_rmse,150,5.560974087681542,6.141214546193373,0.5802404585118311,0.2547328106799158,9.448301376663231,0.6866666666666666,wallpath_extra
task2,overall,25,direct_extra_all_features,p90_ae,150,9.221655830807157,10.47346908569336,1.2518132548862033,0.4724744160970049,11.95223134420825,0.7333333333333333,wallpath_extra
task2,overall,25,direct_extra_all_features,rmse,150,5.537294182558907,6.123398769628103,0.5861045870691963,0.25777882283289655,9.571556730491894,0.6866666666666666,wallpath_extra
task2,overall,25,direct_extra_all_features,wall_region_rmse,150,6.831187119879645,7.101072212560228,0.26988509268058336,-0.03364369448629412,3.8006245339009013,0.48,wallpath_extra
task2,overall,25,direct_rf_all_features,free_space_rmse,150,5.402047174372005,5.459352845125274,0.057305670753268485,-0.012560642619971585,1.0496788241931898,0.4866666666666667,wallpath_extra
task2,overall,25,direct_rf_all_features,high_wall_rmse,150,5.772000646072105,5.837943402380657,0.06594275630855177,0.0047176273841915695,1.1295545667959146,0.5066666666666667,wallpath_extra
task2,overall,25,direct_rf_all_features,los_rmse,127,3.1018643783445214,2.3932522138499857,-0.7086121644945357,-0.6515466692759859,-29.608754162796867,0.15748031496062992,baseline
task2,overall,25,direct_rf_all_features,mae,150,3.826813051435683,3.8805043763584557,0.053691324922773564,0.01772805054982496,1.3836171722903163,0.5533333333333333,wallpath_extra
task2,overall,25,direct_rf_all_features,nlos_rmse,150,5.62439948272433,5.6756112970554655,0.05121181433113541,-0.009640391618373823,0.90231363021115,0.48,wallpath_extra
task2,overall,25,direct_rf_all_features,non_anchor_rmse,150,5.560974087681542,5.598395308611623,0.03742122093008104,-0.03339633314645374,0.668427627333122,0.46,wallpath_extra
task2,overall,25,direct_rf_all_features,p90_ae,150,9.221655830807157,9.397065353393554,0.1754095225863986,-0.012606938680013613,1.866641509767216,0.4866666666666667,wallpath_extra
task2,overall,25,direct_rf_all_features,rmse,150,5.537294182558907,5.576499161980973,0.03920497942206544,-0.03248110649715352,0.7030392775696015,0.46,wallpath_extra
task2,overall,25,direct_rf_all_features,wall_region_rmse,150,6.831187119879645,6.7302097586017675,-0.10097736127787689,-0.05804509949728853,-1.5003597941181521,0.4,baseline
task2,overall,25,multi_wall_residual_idw,free_space_rmse,150,5.402047174372005,6.350574820309652,0.9485276459376467,0.8934353421214256,14.936091185071604,0.96,wallpath_extra
task2,overall,25,multi_wall_residual_idw,high_wall_rmse,150,5.772000646072105,6.717236060743387,0.9452354146712819,0.849756198649898,14.071790928941594,0.96,wallpath_extra
task2,overall,25,multi_wall_residual_idw,los_rmse,127,3.1018643783445214,5.266854218152426,2.1649898398079053,1.9774020298427197,41.105938196393964,1.0,wallpath_extra
task2,overall,25,multi_wall_residual_idw,mae,150,3.826813051435683,4.447673881318834,0.6208608298831515,0.5770412286122644,13.959225573864513,0.9666666666666667,wallpath_extra
task2,overall,25,multi_wall_residual_idw,nlos_rmse,150,5.62439948272433,6.5564451218399125,0.9320456391155818,0.8409983289922267,14.215716318754538,0.96,wallpath_extra
task2,overall,25,multi_wall_residual_idw,non_anchor_rmse,150,5.560974087681542,6.52488013829382,0.9639060506122781,0.8867726633032236,14.772777892964157,0.96,wallpath_extra
task2,overall,25,multi_wall_residual_idw,p90_ae,150,9.221655830807157,10.246202420128716,1.0245465893215602,1.0476195017496739,9.99928117083489,0.9466666666666667,wallpath_extra
task2,overall,25,multi_wall_residual_idw,rmse,150,5.537294182558907,6.4920915883744295,0.9547974058155216,0.8814147977316891,14.707084655510792,0.96,wallpath_extra
task2,overall,25,multi_wall_residual_idw,wall_region_rmse,150,6.831187119879645,7.8379660303491345,1.006778910469491,0.69509644291653,12.84490015102354,0.9266666666666666,wallpath_extra
task3,overall,21,direct_extra_all_features,free_space_rmse,1110,7.069883919235385,11.705401904192053,4.6355179849566674,3.207511974930959,39.60152776383143,0.9324324324324325,wallpath_extra
task3,overall,21,direct_extra_all_features,high_wall_rmse,1110,7.5309257652106565,12.138885775876743,4.607960010666086,2.827973223785237,37.96032103558757,0.8882882882882883,wallpath_extra
task3,overall,21,direct_extra_all_features,los_rmse,1049,6.2077868349016985,9.242292996393338,3.0345061614916413,3.0201585868170806,32.83282798625632,0.7397521448999047,wallpath_extra
task3,overall,21,direct_extra_all_features,mae,1110,5.358240939045811,9.761611914670503,4.403370975624692,3.094982703526815,45.109055903021165,0.9495495495495495,wallpath_extra
task3,overall,21,direct_extra_all_features,nlos_rmse,1110,7.333454421156137,11.762063526862702,4.428609105706565,2.8138472523814078,37.65163396365203,0.8981981981981982,wallpath_extra
task3,overall,21,direct_extra_all_features,non_anchor_rmse,1110,7.270952052516039,11.73250642337481,4.461554370858771,3.0180270396872118,38.02729109928262,0.9108108108108108,wallpath_extra
task3,overall,21,direct_extra_all_features,p90_ae,1110,11.888401953808897,18.45937692238404,6.570974968575142,4.580533345540365,35.596948890550614,0.918918918918919,wallpath_extra
task3,overall,21,direct_extra_all_features,rmse,1110,7.244795850198649,11.717831763620456,4.473035913421807,3.0276344062014124,38.17289754328897,0.9126126126126126,wallpath_extra
task3,overall,21,direct_extra_all_features,wall_region_rmse,1110,8.938867568062713,11.790661916887196,2.8517943488244826,1.1879200646223151,24.186889327561797,0.6702702702702703,wallpath_extra
task3,overall,21,direct_rf_all_features,free_space_rmse,1110,7.069883919235385,7.827077065476417,0.7571931462410336,0.46585737249022463,9.674021859077529,0.8405405405405405,wallpath_extra
task3,overall,21,direct_rf_all_features,high_wall_rmse,1110,7.5309257652106565,8.246919760266808,0.7159939950561529,0.32590468239642023,8.681956607675145,0.7594594594594595,wallpath_extra
task3,overall,21,direct_rf_all_features,los_rmse,1049,6.2077868349016985,6.4461361851186485,0.2383493502169501,0.49525531416066837,3.697553749596479,0.6234509056244042,wallpath_extra
task3,overall,21,direct_rf_all_features,mae,1110,5.358240939045811,6.060577293845626,0.7023363547998148,0.44351637363433793,11.58860485968921,0.890990990990991,wallpath_extra
task3,overall,21,direct_rf_all_features,nlos_rmse,1110,7.333454421156137,8.025339271372552,0.6918848502164147,0.3539758013799257,8.621253592162258,0.7855855855855856,wallpath_extra
task3,overall,21,direct_rf_all_features,non_anchor_rmse,1110,7.270952052516039,7.9602659203758535,0.6893138678598141,0.40791937121641597,8.659432671657127,0.8,wallpath_extra
task3,overall,21,direct_rf_all_features,p90_ae,1110,11.888401953808897,13.052968459659152,1.1645665058502566,0.6390484968821206,8.921851833545798,0.8054054054054054,wallpath_extra
task3,overall,21,direct_rf_all_features,rmse,1110,7.244795850198649,7.937479368962343,0.6926835187636935,0.40976922755698597,8.72674417866547,0.8009009009009009,wallpath_extra
task3,overall,21,direct_rf_all_features,wall_region_rmse,1110,8.938867568062713,9.060455324415383,0.12158775635266947,0.01771598998548063,1.3419607734836947,0.5135135135135135,wallpath_extra
task3,overall,21,multi_wall_residual_idw,free_space_rmse,1110,7.069883919235385,7.1330504630047,0.0631665437693161,0.49976456160159977,0.8855474119652812,0.7558558558558559,wallpath_extra
task3,overall,21,multi_wall_residual_idw,high_wall_rmse,1110,7.5309257652106565,7.576267955287736,0.04534219007708085,0.4660084328341867,0.5984765895909651,0.7360360360360361,wallpath_extra
task3,overall,21,multi_wall_residual_idw,los_rmse,1049,6.2077868349016985,7.991067519104986,1.7832806842032862,1.541133265998841,22.315925624953525,0.9752144899904671,wallpath_extra
task3,overall,21,multi_wall_residual_idw,mae,1110,5.358240939045811,5.2475862181580455,-0.11065472088776551,0.3986595471700034,-2.108678472111062,0.7306306306306306,baseline
task3,overall,21,multi_wall_residual_idw,nlos_rmse,1110,7.333454421156137,7.441978568253279,0.10852414709714113,0.4863117123785239,1.4582700837126108,0.7513513513513513,wallpath_extra
task3,overall,21,multi_wall_residual_idw,non_anchor_rmse,1110,7.270952052516039,7.468133375284667,0.19718132276862757,0.5395750747858017,2.6403026413693667,0.7720720720720721,wallpath_extra
