task,verified_seed,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,wallpath_improvement_percent,wallpath_map_win_rate,winner
task2,11,direct_extra_all_features,free_space_rmse,750,750,0,4.665151568263224,5.3721328170773575,0.706981248814133,0.08794758448314388,13.16015952857171,0.6386666666666667,wallpath_extra
task2,11,direct_extra_all_features,wall_region_rmse,750,750,0,6.932061491520331,6.974153760302776,0.04209226878244647,-0.1535248024899989,0.6035466126662677,0.32133333333333336,wallpath_extra
task2,22,direct_rf_all_features,rmse,750,750,0,4.813007502447845,4.930476106133925,0.11746860368608164,0.0020706090669031507,2.382500212097967,0.5066666666666667,wallpath_extra
task2,22,direct_rf_all_features,non_anchor_rmse,750,750,0,4.833668182458915,4.949744050817642,0.11607586835872703,0.0014274036305967908,2.345088294808945,0.504,wallpath_extra
task2,22,direct_rf_all_features,mae,750,750,0,3.2526972444057463,3.4334240784645083,0.1807268340587616,0.08425855636596702,5.263749246483599,0.68,wallpath_extra
task2,22,direct_rf_all_features,p90_ae,750,750,0,7.979425440152486,8.275181327184042,0.2957558870315552,-0.02025771141052246,3.5740109532101116,0.4693333333333333,wallpath_extra
task2,22,direct_rf_all_features,los_rmse,750,711,39,2.826342587528606,2.257214072398614,-0.5691285151299921,-0.3626741259565447,-25.213758946895602,0.2812939521800281,baseline
task2,22,direct_rf_all_features,nlos_rmse,750,750,0,4.948739524916399,5.080010381826542,0.13127085691014354,0.00863737007730081,2.5840667054492035,0.5293333333333333,wallpath_extra
task2,22,direct_rf_all_features,high_wall_rmse,750,750,0,5.138003988207431,5.282621374914058,0.14461738670662658,0.012525274634340722,2.737606510914852,0.5346666666666666,wallpath_extra
task2,22,direct_rf_all_features,free_space_rmse,750,750,0,4.662503118167101,4.80722851649052,0.14472539832341896,0.013946874473299786,3.0105787113501847,0.5413333333333333,wallpath_extra
task2,22,direct_rf_all_features,wall_region_rmse,750,750,0,6.896432173289343,6.7366036673382075,-0.15982850595113451,-0.08424459351700131,-2.372538356769433,0.348,baseline
task2,22,multi_wall_residual_idw,rmse,750,750,0,4.813007502447845,5.613844914374446,0.800837411926602,0.7674031655560525,14.26539963503496,0.9586666666666667,wallpath_extra
task2,22,multi_wall_residual_idw,non_anchor_rmse,750,750,0,4.833668182458915,5.6421603568282634,0.8084921743693486,0.7723944554389448,14.329478838560375,0.9586666666666667,wallpath_extra
task2,22,multi_wall_residual_idw,mae,750,750,0,3.2526972444057463,3.9212750706672668,0.6685778262615204,0.6942881345748899,17.050010881989756,0.9586666666666667,wallpath_extra
task2,22,multi_wall_residual_idw,p90_ae,750,750,0,7.979425440152486,8.83630686378479,0.8568814236323039,0.9336810111999525,9.697280061019544,0.944,wallpath_extra
task2,22,multi_wall_residual_idw,los_rmse,750,711,39,2.826342587528606,5.029667372134179,2.2033247846055732,2.009143325080351,43.80657052616707,0.9859353023909986,wallpath_extra
task2,22,multi_wall_residual_idw,nlos_rmse,750,750,0,4.948739524916399,5.69786201072668,0.7491224858102808,0.7229996173488914,13.147431166286546,0.952,wallpath_extra
task2,22,multi_wall_residual_idw,high_wall_rmse,750,750,0,5.138003988207431,5.887868334083976,0.7498643458765452,0.7224242104521468,12.735752624352926,0.944,wallpath_extra
task2,22,multi_wall_residual_idw,free_space_rmse,750,750,0,4.662503118167101,5.433454204046212,0.7709510858791111,0.773079260544197,14.188968139365109,0.9573333333333334,wallpath_extra
task2,22,multi_wall_residual_idw,wall_region_rmse,750,750,0,6.896432173289343,7.8886351105382575,0.9922029372489151,0.5825642205426884,12.577624942031509,0.8773333333333333,wallpath_extra
task2,22,direct_extra_all_features,rmse,750,750,0,4.813007502447845,5.546630933985563,0.7336234315377178,0.08934415705314347,13.226469189479115,0.624,wallpath_extra
task2,22,direct_extra_all_features,non_anchor_rmse,750,750,0,4.833668182458915,5.562968021391534,0.7292998389326176,0.08749569905533838,13.109905290273264,0.624,wallpath_extra
task2,22,direct_extra_all_features,mae,750,750,0,3.2526972444057463,4.052013782898585,0.7993165384928386,0.2808417081832886,19.72640226117523,0.7813333333333333,wallpath_extra
task2,22,direct_extra_all_features,p90_ae,750,750,0,7.979425440152486,9.3070247631073,1.3275993229548135,0.05035758018493652,14.264486844575384,0.5426666666666666,wallpath_extra
task2,22,direct_extra_all_features,los_rmse,750,711,39,2.826342587528606,2.358467905846688,-0.46787468168191787,-0.27566953357704593,-19.83807710599104,0.36849507735583686,baseline
task2,22,direct_extra_all_features,nlos_rmse,750,750,0,4.948739524916399,5.697717737419006,0.7489782125026077,0.06468162125371091,13.145231951098449,0.6066666666666667,wallpath_extra
task2,22,direct_extra_all_features,high_wall_rmse,750,750,0,5.138003988207431,5.940165277357405,0.8021612891499735,0.053623028325927025,13.50402306494123,0.596,wallpath_extra
task2,22,direct_extra_all_features,free_space_rmse,750,750,0,4.662503118167101,5.45352871713982,0.7910255989727188,0.13227467013877847,14.504839710234137,0.6573333333333333,wallpath_extra
task2,22,direct_extra_all_features,wall_region_rmse,750,750,0,6.896432173289343,6.9940574547937295,0.09762528150438664,-0.14287693553193082,1.3958318491861168,0.3413333333333333,wallpath_extra
task2,33,direct_rf_all_features,rmse,750,750,0,4.824625744836316,4.924275185818682,0.09964944098236582,-0.0024997254374681255,2.0236367226052674,0.492,wallpath_extra
task2,33,direct_rf_all_features,non_anchor_rmse,750,750,0,4.845643880898438,4.943134112392873,0.09749023149443538,-0.003070736147908759,1.9722352110580832,0.492,wallpath_extra
task2,33,direct_rf_all_features,mae,750,750,0,3.259725445429484,3.4216875420411426,0.16196209661165872,0.07817912101745605,4.733398202544326,0.6533333333333333,wallpath_extra
task2,33,direct_rf_all_features,p90_ae,750,750,0,7.984188907305399,8.278879906336467,0.294690999031067,-0.0332493782043457,3.5595515621082745,0.452,wallpath_extra
task2,33,direct_rf_all_features,los_rmse,750,711,39,2.8986782244154576,2.319486248132689,-0.5791919762827689,-0.34706844416388766,-24.970701022653152,0.25738396624472576,baseline
task2,33,direct_rf_all_features,nlos_rmse,750,750,0,4.959227041697975,5.072650895542469,0.11342385384449377,-2.7112407161578034e-06,2.235987774048549,0.5,wallpath_extra
task2,33,direct_rf_all_features,high_wall_rmse,750,750,0,5.148854874593518,5.274833833293577,0.12597895870006,0.002169087487132959,2.3883019386299633,0.5066666666666667,wallpath_extra
task2,33,direct_rf_all_features,free_space_rmse,750,750,0,4.671295014310639,4.798711547546933,0.12741653323629445,0.01118881129680771,2.655223844438594,0.524,wallpath_extra
task2,33,direct_rf_all_features,wall_region_rmse,750,750,0,6.936316822691428,6.749934041194372,-0.18638278149705562,-0.09548328040254228,-2.761253374619286,0.3453333333333333,baseline
task2,33,multi_wall_residual_idw,rmse,750,750,0,4.824625744836316,5.635773734273137,0.8111479894368208,0.7829043007491421,14.392841651962394,0.9533333333333334,wallpath_extra
task2,33,multi_wall_residual_idw,non_anchor_rmse,750,750,0,4.845643880898438,5.664199670893858,0.8185557899954206,0.789133489127106,14.45139362232697,0.9546666666666667,wallpath_extra
task2,33,multi_wall_residual_idw,mae,750,750,0,3.259725445429484,3.9273580803871155,0.6676326349576315,0.6744841337203981,16.999535598542206,0.9506666666666667,wallpath_extra
task2,33,multi_wall_residual_idw,p90_ae,750,750,0,7.984188907305399,8.850029679298402,0.8658407719930014,0.9424407482147208,9.78347873813733,0.936,wallpath_extra
task2,33,multi_wall_residual_idw,los_rmse,750,711,39,2.8986782244154576,5.098307542632831,2.199629318217374,2.0005691345786536,43.14430425830013,0.9873417721518988,wallpath_extra
task2,33,multi_wall_residual_idw,nlos_rmse,750,750,0,4.959227041697975,5.719724791629419,0.7604977499314448,0.7301463226898985,13.296054926355918,0.948,wallpath_extra
task2,33,multi_wall_residual_idw,high_wall_rmse,750,750,0,5.148854874593518,5.9113926909684285,0.7625378163749109,0.7322451386119471,12.89946136618423,0.9466666666666667,wallpath_extra
task2,33,multi_wall_residual_idw,free_space_rmse,750,750,0,4.671295014310639,5.451849763544447,0.7805547492338083,0.7755682666203758,14.317246129070538,0.9533333333333334,wallpath_extra
task2,33,multi_wall_residual_idw,wall_region_rmse,750,750,0,6.936316822691428,7.96943590663184,1.0331190839404112,0.5926550281897973,12.963515812715082,0.8746666666666667,wallpath_extra
task2,33,direct_extra_all_features,rmse,750,750,0,4.824625744836316,5.541002158243054,0.7163764134067379,0.07021499530741093,12.928643464630719,0.6106666666666667,wallpath_extra
task2,33,direct_extra_all_features,non_anchor_rmse,750,750,0,4.845643880898438,5.557010688612439,0.7113668077140016,0.06954320318693519,12.801249584992728,0.608,wallpath_extra
task2,33,direct_extra_all_features,mae,750,750,0,3.259725445429484,4.048661957820257,0.7889365123907724,0.2710529565811157,19.48635180239956,0.7773333333333333,wallpath_extra
