task,scope,baseline_method,metric,num_candidate_maps,num_valid_maps,num_missing_pairs,wallpath_map_wins,baseline_map_wins,ties,wallpath_map_win_rate,baseline_map_win_rate,mean_wallpath_value,mean_baseline_value,mean_paired_difference,median_paired_difference,mean_wallpath_improvement_percent
task2,overall,direct_extra_all_features,nlos_rmse,750,750,0,436,314,0,0.5813333333333334,0.4186666666666667,4.955199565154566,5.669094462259188,0.713894897104621,0.039670206306451794,12.592750074235449
task2,Ant1-f1 source-like,direct_extra_all_features,nlos_rmse,250,250,0,55,195,0,0.22,0.78,3.0700441909054788,2.9892636186715227,-0.0807805722339566,-0.08204820498539211,-2.702356919255461
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,nlos_rmse,500,500,0,381,119,0,0.762,0.238,5.897777252279109,7.009009884053019,1.1112326317739099,0.2368108653640837,15.85434533773735
task2,overall,direct_extra_all_features,non_anchor_rmse,750,750,0,455,295,0,0.6066666666666667,0.3933333333333333,4.839370463174079,5.535667449609323,0.6962969864352442,0.07503669740901708,12.578374564107616
task2,Ant1-f1 source-like,direct_extra_all_features,non_anchor_rmse,250,250,0,50,200,0,0.2,0.8,2.9812526366652317,2.8905183083022017,-0.0907343283630301,-0.09145938897210626,-3.1390331658658277
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,non_anchor_rmse,500,500,0,405,95,0,0.81,0.19,5.768429376428504,6.858242020262884,1.0898126438343811,0.2663709546062272,15.890553885594825
task2,overall,direct_extra_all_features,p90_ae,750,750,0,395,355,0,0.5266666666666666,0.47333333333333333,7.978105586369832,9.249071926116944,1.270966339747111,0.02468434969584088,13.74155536793089
task2,Ant1-f1 source-like,direct_extra_all_features,p90_ae,250,250,0,55,195,0,0.22,0.78,4.808398335774738,4.7805582447052,-0.027840091069539354,-0.09522390365600586,-0.5823606709608199
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,p90_ae,500,500,0,340,160,0,0.68,0.32,9.56295921166738,11.483328766822815,1.920369555155436,0.2778464953104649,16.72310872700686
task2,overall,direct_extra_all_features,rmse,750,750,0,455,295,0,0.6066666666666667,0.3933333333333333,4.818543626874059,5.519287731259263,0.7007441043852037,0.0756487751760011,12.69627782614849
task2,Ant1-f1 source-like,direct_extra_all_features,rmse,250,250,0,50,200,0,0.2,0.8,2.9670564770714996,2.8783760635424054,-0.08868041352909367,-0.09023002885638165,-3.080918252910829
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,rmse,500,500,0,405,95,0,0.81,0.19,5.7442872017753395,6.839743565117691,1.0954563633423526,0.2718487055286736,16.016044357702494
task2,overall,direct_extra_all_features,wall_region_rmse,750,750,0,235,515,0,0.31333333333333335,0.6866666666666666,6.9216034958337005,6.9979580155699574,0.07635451973625725,-0.16192055460008525,1.091097139570909
task2,Ant1-f1 source-like,direct_extra_all_features,wall_region_rmse,250,250,0,72,178,0,0.288,0.712,4.4187018711363555,4.144095434051821,-0.2746064370845348,-0.11962315835600745,-6.626450607968802
task2,Ant1-f2-f3 frequency shift,direct_extra_all_features,wall_region_rmse,500,500,0,163,337,0,0.326,0.674,8.173054308182373,8.424889306329026,0.25183499814665333,-0.1909300065321693,2.989178717843426
task2,overall,direct_rf_all_features,free_space_rmse,750,750,0,401,349,0,0.5346666666666666,0.4653333333333333,4.666316566913656,4.801651648422863,0.1353350815092074,0.012591399105600587,2.818511033670231
task2,Ant1-f1 source-like,direct_rf_all_features,free_space_rmse,250,250,0,67,183,0,0.268,0.732,2.8565591864407462,2.7946302542452166,-0.06192893219552988,-0.07985551851721251,-2.215997343528925
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,free_space_rmse,500,500,0,334,166,0,0.668,0.332,5.5711952571501095,5.805162345511685,0.23396708836157598,0.0643322440959555,4.030328084493097
task2,overall,direct_rf_all_features,high_wall_rmse,750,750,0,382,368,0,0.5093333333333333,0.49066666666666664,5.145581756579418,5.280149153436694,0.13456739685727587,0.0047176273841915695,2.5485529470259474
task2,Ant1-f1 source-like,direct_rf_all_features,high_wall_rmse,250,250,0,59,191,0,0.236,0.764,3.2014958912091425,3.131561693757286,-0.06993419745185686,-0.0645221551950399,-2.233205163777204
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,high_wall_rmse,500,500,0,323,177,0,0.646,0.354,6.117624689264556,6.354442883276398,0.23681819401184226,0.052516316399374485,3.726812851447605
task2,overall,direct_rf_all_features,los_rmse,750,711,39,179,532,0,0.2517580872011252,0.7482419127988749,2.823779631604143,2.2681611250298426,-0.5556185065743006,-0.3623767594477234,-24.496430189323075
task2,Ant1-f1 source-like,direct_rf_all_features,los_rmse,250,238,12,1,237,0,0.004201680672268907,0.9957983193277311,1.3119460907450504,0.7918483877397611,-0.5200977030052892,-0.40914583904427315,-65.68147527455952
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,los_rmse,500,473,27,178,295,0,0.3763213530655391,0.6236786469344608,3.5844908001548075,3.010999246541554,-0.5734915536132537,-0.28484093972721114,-19.046552544706493
task2,overall,direct_rf_all_features,mae,750,750,0,516,234,0,0.688,0.312,3.2537590808338592,3.4273973936504785,0.17363831281661987,0.07677523295084632,5.06618558846715
task2,Ant1-f1 source-like,direct_rf_all_features,mae,250,250,0,98,152,0,0.392,0.608,1.9211883625984194,1.8977019735972087,-0.02348638900121054,-0.029253065586090088,-1.237622626101338
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,mae,500,500,0,418,82,0,0.836,0.164,3.9200444399515786,4.192245103677114,0.27220066372553503,0.16573945681254054,6.492956804619601
task2,overall,direct_rf_all_features,nlos_rmse,750,750,0,380,370,0,0.5066666666666667,0.49333333333333335,4.955199565154566,5.077014471555188,0.12181490640062224,0.003438806236778724,2.3993413271344783
task2,Ant1-f1 source-like,direct_rf_all_features,nlos_rmse,250,250,0,61,189,0,0.244,0.756,3.0700441909054788,3.000013604314316,-0.07003058659116328,-0.0696277708847729,-2.3343423006633
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,nlos_rmse,500,500,0,319,181,0,0.638,0.362,5.897777252279109,6.115514905175624,0.21773765289651498,0.04831661445554358,3.5604140660705688
task2,overall,direct_rf_all_features,non_anchor_rmse,750,750,0,373,377,0,0.49733333333333335,0.5026666666666667,4.839370463174079,4.946017230861865,0.10664676768778533,-0.002396376904054698,2.1562150455590334
task2,Ant1-f1 source-like,direct_rf_all_features,non_anchor_rmse,250,250,0,60,190,0,0.24,0.76,2.9812526366652317,2.9025552276832385,-0.07869740898199333,-0.07987910654226915,-2.7113147833127664
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,non_anchor_rmse,500,500,0,313,187,0,0.626,0.374,5.768429376428504,5.967748232451179,0.19931885602267466,0.044064935064145105,3.3399340632171257
task2,overall,direct_rf_all_features,p90_ae,750,750,0,332,418,0,0.44266666666666665,0.5573333333333333,7.978105586369832,8.272061554378935,0.293955968009101,-0.03106411298116063,3.553599862340154
task2,Ant1-f1 source-like,direct_rf_all_features,p90_ae,250,250,0,72,178,0,0.288,0.712,4.808398335774738,4.775869000116983,-0.0325293356577555,-0.08960803349812818,-0.6811186750926037
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,p90_ae,500,500,0,260,240,0,0.52,0.48,9.56295921166738,10.020157831509907,0.4571986198425293,0.008952617645263672,4.562788606031704
task2,overall,direct_rf_all_features,rmse,750,750,0,374,376,0,0.49866666666666665,0.5013333333333333,4.818543626874059,4.926945471989319,0.10840184511525904,-0.0016252213613197064,2.20018357685397
task2,Ant1-f1 source-like,direct_rf_all_features,rmse,250,250,0,60,190,0,0.24,0.76,2.9670564770714996,2.8898114139487534,-0.07724506312274604,-0.07887201812493161,-2.673013981116346
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,rmse,500,500,0,314,186,0,0.628,0.372,5.7442872017753395,5.945512501009602,0.20122529923426158,0.04540726198210776,3.384490390022599
task2,overall,direct_rf_all_features,wall_region_rmse,750,750,0,247,503,0,0.3293333333333333,0.6706666666666666,6.9216034958337005,6.751070637876396,-0.17053285795730355,-0.09591631644546705,-2.526012052081674
task2,Ant1-f1 source-like,direct_rf_all_features,wall_region_rmse,250,250,0,79,171,0,0.316,0.684,4.4187018711363555,4.198900288873802,-0.21980158226255314,-0.1032124143965496,-5.2347416499739445
task2,Ant1-f2-f3 frequency shift,direct_rf_all_features,wall_region_rmse,500,500,0,168,332,0,0.336,0.664,8.173054308182373,8.027155812377694,-0.14589849580467873,-0.09370026655780084,-1.817561527579991
task2,overall,multi_wall_residual_idw,free_space_rmse,750,750,0,722,28,0,0.9626666666666667,0.037333333333333336,4.666316566913656,5.446132745242297,0.7798161783286424,0.7746858403120338,14.318714118929307
task2,Ant1-f1 source-like,multi_wall_residual_idw,free_space_rmse,250,250,0,250,0,0,1.0,0.0,2.8565591864407462,3.5419005161566006,0.6853413297158542,0.6288311865879443,19.34953640255075
task2,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,free_space_rmse,500,500,0,472,28,0,0.944,0.056,5.5711952571501095,6.398248859785144,0.8270536026350365,0.8961883167445994,12.926249365405386
task2,overall,multi_wall_residual_idw,high_wall_rmse,750,750,0,715,35,0,0.9533333333333334,0.04666666666666667,5.145581756579418,5.906351023279452,0.7607692667000338,0.7300456802676958,12.880529174468597
task2,Ant1-f1 source-like,multi_wall_residual_idw,high_wall_rmse,250,250,0,250,0,0,1.0,0.0,3.2014958912091425,3.9011374141246433,0.6996415229155011,0.5923291089756798,17.934295787232347
