task,scope,baseline_method,metric,num_buildings,buildings,cluster_mean_paired_difference,cluster_median_paired_difference,cluster_mean_improvement_percent,bootstrap_iterations,confidence,difference_ci_low,difference_ci_high,improvement_percent_ci_low,improvement_percent_ci_high,bootstrap_probability_wallpath_better,wallpath_building_wins,baseline_building_wins,building_ties,sign_test_p_two_sided,difference_ci_excludes_zero
task2,Ant1-f1 source-like,direct_rf_all_features,high_wall_rmse,5,"B21,B22,B23,B24,B25",-0.06993419745185685,-0.045548582430584315,-2.2516770228838663,20000,0.95,-0.15864197878129177,0.0137070908435868,-4.616184173014869,0.11283012724713577,0.05745,1,4,0,0.375,False
task2,Ant1-f1 source-like,direct_rf_all_features,los_rmse,5,"B21,B22,B23,B24,B25",-0.5267650934943112,-0.4079735368011579,-65.22423471724886,20000,0.95,-0.7299031777604533,-0.32651834490220655,-87.10809508266989,-43.62888509403944,0.0,0,5,0,0.0625,True
task2,Ant1-f1 source-like,direct_rf_all_features,mae,5,"B21,B22,B23,B24,B25",-0.023486389001210542,0.014729746182759615,-0.9560695273000113,20000,0.95,-0.09923767296473188,0.0411261380513509,-4.258250105614577,2.1437625686053208,0.266,3,2,0,1.0,False
task2,Ant1-f1 source-like,direct_rf_all_features,nlos_rmse,5,"B21,B22,B23,B24,B25",-0.07003058659116326,-0.05051768121576352,-2.382637108492705,20000,0.95,-0.1584688756747495,0.015805277093439617,-4.944294038398411,0.17901982141300085,0.0576,2,3,0,1.0,False
task2,Ant1-f1 source-like,direct_rf_all_features,non_anchor_rmse,5,"B21,B22,B23,B24,B25",-0.07869740898199334,-0.05469974763704574,-2.7698252056401422,20000,0.95,-0.17051477138621868,0.005500858626907026,-5.3670652016109,-0.17258520966938412,0.03245,2,3,0,1.0,False
task2,Ant1-f1 source-like,direct_rf_all_features,p90_ae,5,"B21,B22,B23,B24,B25",-0.032529335657755495,-0.09012028694152831,-0.9466824826140467,20000,0.95,-0.1397834981282552,0.10041623115539552,-3.087355201054585,1.3779856036371814,0.2578,2,3,0,1.0,False
task2,Ant1-f1 source-like,direct_rf_all_features,rmse,5,"B21,B22,B23,B24,B25",-0.07724506312274601,-0.05381340863532916,-2.734189632252383,20000,0.95,-0.16881668176301126,0.006908884775384133,-5.341213307797809,-0.12716595670695724,0.032,2,3,0,1.0,False
task2,Ant1-f1 source-like,direct_rf_all_features,wall_region_rmse,5,"B21,B22,B23,B24,B25",-0.21980158226255314,-0.2335523214398786,-5.073780807992504,20000,0.95,-0.34259471597175734,-0.10712315051448015,-7.169965871291531,-2.956236476627424,0.0,0,5,0,0.0625,True
task2,Ant1-f1 source-like,multi_wall_residual_idw,free_space_rmse,5,"B21,B22,B23,B24,B25",0.6853413297158542,0.6988591461157254,20.288490557966146,20000,0.95,0.6215608311276304,0.7470255896175823,16.28327549943578,25.087438035212685,1.0,5,0,0,0.0625,True
task2,Ant1-f1 source-like,multi_wall_residual_idw,high_wall_rmse,5,"B21,B22,B23,B24,B25",0.6996415229155012,0.6894668218223207,18.75120815546298,20000,0.95,0.6483457406546659,0.7514691276244071,15.339341398180736,22.658021531669966,1.0,5,0,0,0.0625,True
