fold,anchor_fraction,anchor_seed,model_seed,adapted_method,baseline_method,test_count,adapted_rmse,baseline_rmse,rmse_improvement_percent,adapted_mae,baseline_mae,mae_improvement_percent,adapted_p90_ae,baseline_p90_ae,p90_improvement_percent,adapted_point_wins,baseline_point_wins,ties,adapted_point_win_percent
holdout_SSE,0.1,11,11,bias_calibrated_log_distance,log_distance,193,8.213424579522014,7.332017520066102,-12.021344153143351,6.521932642218108,5.984865465484594,-8.973755213560631,13.72340016010917,12.08748074967539,-13.533998062232392,87,106,0,45.07772020725388
holdout_SSE,0.1,22,11,bias_calibrated_log_distance,log_distance,193,7.553034581839529,7.589597640525625,0.48175226695632706,6.0908771592260385,6.120115945650159,0.4777488969780405,12.2594911656161,12.355695796923099,0.7786257681332466,121,72,0,62.69430051813472
holdout_SSE,0.1,33,11,bias_calibrated_log_distance,log_distance,193,7.30281029053894,7.636888504901864,4.374533085673452,5.936480468387121,6.216680507355947,4.507229197918034,12.385684946653315,12.751973626932505,2.8724077620861674,113,80,0,58.549222797927456
holdout_Comms,0.01,11,11,bias_calibrated_multi_wall,multi_wall_linear,1373,8.513861047674826,9.453277323666729,9.937466593093905,6.641899601072356,7.417627919244001,10.457902804198719,14.263086478694628,15.217361166037023,6.270960365140043,832,541,0,60.5972323379461
holdout_Comms,0.01,22,11,bias_calibrated_multi_wall,multi_wall_linear,1373,9.069727706370589,9.483482242439088,4.362896723915666,7.099208490173589,7.441411751077647,4.5986335973748655,14.666627806680165,15.269720062442362,3.949596019416049,911,462,0,66.3510560815732
holdout_Comms,0.01,33,11,bias_calibrated_multi_wall,multi_wall_linear,1373,9.928399317985216,9.50023972815149,-4.506829323106302,7.851883138148888,7.462204871916634,-5.222025834465825,15.88300926699856,15.269720062442362,-4.01637490437466,386,987,0,28.11361981063365
holdout_Comms,0.05,11,11,bias_calibrated_multi_wall,multi_wall_linear,1318,8.725594400561597,9.389509918174477,7.070821836268526,6.853019273585972,7.376338339057731,7.094564286738078,14.591027255697483,15.21442945679717,4.0974405439908015,724,594,0,54.93171471927162
holdout_Comms,0.05,22,11,bias_calibrated_multi_wall,multi_wall_linear,1318,8.507119695400693,9.436301939618977,9.846889704928229,6.631231393274947,7.388763381875265,10.252486775507705,14.308818460110466,15.145127881216654,5.5219700200973465,772,546,0,58.573596358118365
holdout_Comms,0.05,33,11,bias_calibrated_multi_wall,multi_wall_linear,1318,8.563151815052715,9.492411470756522,9.789500366335762,6.705286037760733,7.459085744085842,10.105792213513313,14.391392163300505,15.27768992571618,5.801255076684161,778,540,0,59.028831562974204
holdout_Comms,0.1,11,11,bias_calibrated_multi_wall,multi_wall_linear,1248,8.527425758148473,9.47892216055988,10.038023166498995,6.654038465289636,7.431937165003267,10.466970891206245,14.41785158877833,15.298633527608079,5.757258890085054,764,484,0,61.21794871794872
holdout_Comms,0.1,22,11,bias_calibrated_multi_wall,multi_wall_linear,1248,8.51286719546756,9.440140798560071,9.822667086003104,6.692625275002386,7.430896025263194,9.935151127816507,14.011462532731262,15.137462442580125,7.438498454546393,733,515,0,58.733974358974365
holdout_Comms,0.1,33,11,bias_calibrated_multi_wall,multi_wall_linear,1248,8.584508201679446,9.48618544237647,9.5051614389602,6.683985508701264,7.449837662383661,10.280118687007121,14.667313477555771,15.279295554522049,4.005302959043529,733,515,0,58.733974358974365
holdout_Library,0.01,11,11,bias_calibrated_multi_wall,multi_wall_linear,680,8.172449409105605,11.30263012132521,27.694268312945535,6.6034097436309525,9.563522249107622,30.952116054865453,13.672782231802596,18.100921561335486,24.463612609601196,544,136,0,80.0
holdout_Library,0.01,22,11,bias_calibrated_multi_wall,multi_wall_linear,680,7.972753882923636,11.3069871711766,29.4882556933688,6.4126866258283695,9.576462832559272,33.03700188731789,13.291846988547137,18.100921561335486,26.568120062244695,540,140,0,79.41176470588235
holdout_Library,0.01,33,11,bias_calibrated_multi_wall,multi_wall_linear,680,8.857245134168028,11.239282958790008,21.19385937124252,7.048986429918069,9.502720138508064,25.821382433927315,14.82302999087936,17.96114847546031,17.47170281938513,421,259,0,61.911764705882355
holdout_Library,0.05,11,11,bias_calibrated_multi_wall,multi_wall_linear,653,7.260406083925297,11.252263230491145,35.4760377072303,5.7330364574260075,9.504727790906353,39.68226567297288,11.860370005906125,18.022626665505534,34.19177888977571,485,168,0,74.27258805513017
holdout_Library,0.05,22,11,bias_calibrated_multi_wall,multi_wall_linear,653,7.4881186017896475,11.31136006464512,33.80001556846756,5.983242139042272,9.569836552729976,37.47811568071725,12.408426476743683,18.085282091281446,31.38936725390898,505,148,0,77.33537519142419
holdout_Library,0.05,33,11,bias_calibrated_multi_wall,multi_wall_linear,653,7.622226531121249,11.366773955110569,32.942921525291254,6.106326683913669,9.647050858596298,36.70265894294067,12.683436116008709,18.22283359845671,30.398112634454016,510,143,0,78.1010719754977
holdout_Library,0.1,11,11,bias_calibrated_multi_wall,multi_wall_linear,618,7.249188172405719,11.225549057710008,35.4224177798521,5.721058203605758,9.478581032945907,39.64225041996951,12.017571560469943,17.97482658394194,33.14221139020053,453,165,0,73.30097087378641
holdout_Library,0.1,22,11,bias_calibrated_multi_wall,multi_wall_linear,618,7.30999258001624,11.282571904582538,35.20987376072288,5.764445629992595,9.52964389201833,39.51037735186855,12.262823495002495,18.173388947692082,32.5231879959307,456,162,0,73.7864077669903
holdout_Library,0.1,33,11,bias_calibrated_multi_wall,multi_wall_linear,618,7.422488035834941,11.328486069196797,34.47943537647654,5.877635644399846,9.534467681713616,38.35381438575009,12.106010067473985,18.254174453507087,33.68086791156904,449,169,0,72.65372168284789
holdout_SSE,0.01,11,11,bias_calibrated_multi_wall,multi_wall_linear,212,9.00836078199807,9.83187858157059,8.375996435881213,7.368091797246842,7.832431440440264,5.928422696379479,14.872012688921723,16.487217287035126,9.796708383188069,121,91,0,57.07547169811321
holdout_SSE,0.01,22,11,bias_calibrated_multi_wall,multi_wall_linear,212,12.112874101522907,9.728951387861414,-24.503388069508265,10.166662835684011,7.7508037029141414,-31.16914355425563,19.561250877158276,16.17255721630917,-20.9533570697885,87,125,0,41.0377358490566
holdout_SSE,0.01,33,11,bias_calibrated_multi_wall,multi_wall_linear,212,9.225324099036461,9.809692406832125,5.957050267841945,7.4165688314914835,7.789493220495671,4.787530824507951,14.798470041508935,16.487217287035126,10.242766963798996,128,84,0,60.37735849056604
holdout_SSE,0.05,11,11,bias_calibrated_multi_wall,multi_wall_linear,203,9.069292782458595,9.859421111922114,8.013942405889201,7.388223450595373,7.851307571926004,5.898178323652542,14.75762972650895,16.46106068411043,10.348245415593237,119,84,0,58.620689655172406
