split,method,anchor_mode,anchor_fraction,anchor_count,anchor_seed,random_seed,model_seed,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,unique_test_points
leave_scenario_fewshot,log_distance,fraction,0.05,,22,11,11,15.01342967195998,12.72361477585528,12.003953266610672,24.129727298606284,26.7471570991262,-3.7948966143428304,14.525902044325427,2174,2174
leave_scenario_fewshot,log_distance,fraction,0.05,,33,11,11,15.013768706813641,12.72136140297865,12.003953266610672,24.109178182415334,26.79189700071918,-3.852568610260158,14.51106356835827,2174,2174
leave_scenario_fewshot,log_distance,fraction,0.1,,11,11,11,14.880803069518509,12.568023227452242,11.631089185047728,23.984960754462584,26.497658365904005,-3.706258733653465,14.411868240898155,2059,2059
leave_scenario_fewshot,log_distance,fraction,0.1,,22,11,11,15.03817392083907,12.751736858576269,12.018086839567218,24.138459476365767,26.759647532832577,-3.9358639493103484,14.513981185254565,2059,2059
leave_scenario_fewshot,log_distance,fraction,0.1,,33,11,11,15.003653226001985,12.710130174855534,11.852871032145913,24.076535802537222,26.74348498776685,-3.9066079654941364,14.486132138361071,2059,2059
leave_scenario_fewshot,multi_wall_linear,fraction,0.01,,11,11,11,10.078284625483366,8.100694802599795,7.018532868872612,16.1930533031317,20.017493517630346,4.724379451506478,8.902362595987524,2265,2265
leave_scenario_fewshot,multi_wall_linear,fraction,0.01,,22,11,11,10.087600127005636,8.111356929530999,7.068583098174955,16.222999706510944,20.017493517630346,4.746778829158567,8.900998094001379,2265,2265
leave_scenario_fewshot,multi_wall_linear,fraction,0.01,,33,11,11,10.081760354775504,8.105443508199604,7.068583098174955,16.1930533031317,20.018871148658853,4.724697701022058,8.906128422893978,2265,2265
leave_scenario_fewshot,multi_wall_linear,fraction,0.05,,11,11,11,10.027802368820891,8.059989243533082,7.018626186565193,16.148475106206355,19.815743167219562,4.646682783984163,8.886234267289778,2174,2174
leave_scenario_fewshot,multi_wall_linear,fraction,0.05,,22,11,11,10.05662369559825,8.076281937012158,6.972130834880399,16.227927698589305,19.897047194713128,4.74889324360936,8.864744390881757,2174,2174
leave_scenario_fewshot,multi_wall_linear,fraction,0.05,,33,11,11,10.117286748769072,8.143877639914734,7.123922752497336,16.249079004946303,19.94999585448891,4.738419386019525,8.939064429738304,2174,2174
leave_scenario_fewshot,multi_wall_linear,fraction,0.1,,11,11,11,10.039076121591966,8.053173594416364,6.951921689185028,16.027489799116545,20.01798128454077,4.785807604343601,8.824913311150707,2059,2059
leave_scenario_fewshot,multi_wall_linear,fraction,0.1,,22,11,11,10.059294799142563,8.086041240100752,7.085604091616574,16.192674852222662,19.924770372651597,4.674628655228273,8.907146501084135,2059,2059
leave_scenario_fewshot,multi_wall_linear,fraction,0.1,,33,11,11,10.105304847574985,8.117177046700322,7.025335556429269,16.355803073145267,20.016231265502903,4.654533363211885,8.969532052073282,2059,2059
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.01,,11,11,11,9.89849605097,7.79967611306101,6.528521201927148,16.09893664368175,19.417345115706183,4.045698552355629,9.033966310239165,2265,2265
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.01,,22,11,11,9.77432502077671,7.80018585398506,6.740764806313436,15.902569406216006,18.98817648527072,4.3765229711219815,8.73976408692038,2265,2265
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.01,,33,11,11,9.899128056879361,7.814268477642446,6.6532356364629095,15.938396268527274,19.156214455999585,4.331227513912575,8.9013035286537,2265,2265
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.05,,11,11,11,7.892640825213507,6.193938754824919,5.264793809616528,13.05374059511912,15.871703767379493,0.15244751836390572,7.891168414751496,2174,2174
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.05,,22,11,11,8.31885534590856,6.62447767448819,5.620933512281852,13.92523972157651,15.92764002138049,1.6678196003552852,8.149952886171928,2174,2174
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.05,,33,11,11,8.525723404503303,6.664112362016995,5.449641197544672,13.762587391011932,17.08752076367796,1.3664708446796607,8.41550456008051,2174,2174
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.1,,11,11,11,7.611361397017094,5.988124485408657,4.854389612665457,12.647039348600778,14.993226378398761,1.1104793846997303,7.529917519611946,2059,2059
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.1,,22,11,11,7.517963153012516,5.9507930689994275,5.034548309205732,12.149489130849167,14.669476664182529,0.23434426721233742,7.514309864151106,2059,2059
leave_scenario_fewshot,wallpath_fewshot_residual_extra,fraction,0.1,,33,11,11,7.487964628583559,5.803668904768572,4.632422653643232,12.12832952384103,14.882539322053232,-0.09344393872499528,7.487381552267393,2059,2059
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.01,,11,11,11,9.663101802523483,7.6294010316786025,6.467648073594617,15.84948557536582,18.905341176533394,3.7328409226989976,8.912992488034325,2265,2265
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.01,,22,11,11,9.998373849475133,7.962856977083447,6.837923173793641,16.127615041714346,19.68608425880643,4.612334381441228,8.870955483353717,2265,2265
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.01,,33,11,11,9.841132874176237,7.77810238505494,6.524151079283257,15.96204914877968,19.131266183403262,4.21276360570035,8.893847258058733,2265,2265
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.05,,11,11,11,7.98603482595025,6.324171284445349,5.1648204142179,13.066489531201496,15.986115430166615,0.5313720787049147,7.968337088455975,2174,2174
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.05,,22,11,11,8.394661670148528,6.6843920595430655,5.6771242483131275,13.838333173669488,16.352567031794756,1.6072179393924717,8.239368607578854,2174,2174
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.05,,33,11,11,8.501241039193879,6.7276538343097005,5.568323417431955,14.03524494515814,16.795345021122237,1.6763051916960299,8.334332613399058,2174,2174
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.1,,11,11,11,7.6205554084956635,6.015176929606973,4.963011521525189,12.479713276516396,15.16165913236499,1.3679700601516198,7.4967674799530295,2059,2059
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.1,,22,11,11,7.543378265418522,5.973941639888513,4.867059947326396,12.29910169925783,14.75946214923487,0.3992933912534365,7.532802960577814,2059,2059
leave_scenario_fewshot,wallpath_fewshot_residual_rf,fraction,0.1,,33,11,11,7.607005068668755,5.966187433115182,4.78479179335541,12.541459777180274,14.829001934646724,0.3351615500975054,7.599617941060482,2059,2059
