split,fold,heldout_scenario,method,anchor_mode,anchor_fraction,anchor_count,anchor_seed,random_seed,model_seed,rmse,mae,median_ae,p90_ae,p95_ae,bias_db,std_error_db,count,train_count,target_anchor_count,test_count
leave_scenario_fewshot,holdout_Comms,Comms,direct_rf_with_anchors,fraction,0.1,,33,11,11,7.444597060953777,5.738814810980928,4.568071608946589,11.976570598845568,15.373703255771998,-0.5321452587266541,7.425553637512584,1248,1040,139,1248
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.01,,11,11,11,15.39802408692252,13.940123981956086,14.58318898615373,22.425448019121085,24.343330896020536,13.574927667807145,7.267770262965815,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.01,,11,11,11,11.30263012132521,9.563522249107622,9.075037167914054,18.100921561335486,20.849452734779057,8.632694989266119,7.295616826683509,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_log_distance,fraction,0.01,,11,11,11,7.37594880593309,5.990802899999176,5.155786417662782,11.971719616259636,13.67696415965583,1.258624722661835,7.267770262965815,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_multi_wall,fraction,0.01,,11,11,11,8.172449409105605,6.6034097436309525,5.6477786600276545,13.672782231802596,16.157226371125184,3.682784878675781,7.295616826683509,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_extra,fraction,0.01,,11,11,11,11.040366802901486,9.19586749312228,8.545584407721122,17.708424283735592,20.928690099685145,8.055857488389394,7.549361514020223,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_rf,fraction,0.01,,11,11,11,11.147113584271347,9.250545845205936,8.629872351297912,17.801027706380637,21.107818938621303,8.039129211706172,7.722081505535883,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,direct_extra_with_anchors,fraction,0.01,,11,11,11,10.980303274036439,9.280961823909344,8.973715048840042,17.433991666666643,19.722883333333336,8.230767015449828,7.2678424809016375,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,direct_rf_with_anchors,fraction,0.01,,11,11,11,11.605434614335305,9.837679150517799,9.424858134920662,18.56121423160172,20.358661904761888,8.94475100713873,7.394426415071202,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.01,,22,11,11,15.398490576655206,13.945728284170663,14.526273980279399,22.488309125741498,24.343330896020536,13.580531970021719,7.258282403610176,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.01,,22,11,11,11.3069871711766,9.576462832559272,9.075037167914054,18.100921561335486,20.849452734779057,8.627636921671806,7.308340443421998,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_log_distance,fraction,0.01,,22,11,11,7.480231764847117,6.112177818705855,5.408990170412665,12.262089542623137,14.221382089071687,1.8086469542922674,7.258282403610176,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_multi_wall,fraction,0.01,,22,11,11,7.972753882923636,6.4126866258283695,5.5319360542787095,13.291846988547137,15.94540860719925,3.186371673348274,7.308340443421998,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_extra,fraction,0.01,,22,11,11,11.02937537915447,9.143168862027494,8.473871315676753,17.806877771446075,20.643641872601783,8.034048676336072,7.5565324799514615,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_rf,fraction,0.01,,22,11,11,11.191469759889577,9.229906193613092,8.381505284099397,17.89820280114082,21.163484033933454,8.04023201727304,7.784835547071009,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,direct_extra_with_anchors,fraction,0.01,,22,11,11,11.116361223887495,9.494370715762988,9.283859945609947,17.242875595238075,19.317953968253974,8.5568001404641,7.096101621038347,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,direct_rf_with_anchors,fraction,0.01,,22,11,11,11.631822502612218,9.904689738333985,9.550840818903296,18.13347440476192,20.01001180555555,9.108073482041258,7.234797314231602,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.01,,33,11,11,15.375723409315713,13.91466272758952,14.494272119547183,22.425448019121085,24.27710023736761,13.549466413440577,7.268069225786517,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.01,,33,11,11,11.239282958790008,9.502720138508064,9.01915185859388,17.96114847546031,20.849452734779057,8.54409100752056,7.302053840047593,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_log_distance,fraction,0.01,,33,11,11,7.373124495423691,5.737699512457579,4.695041619194313,11.783414975796635,14.893829977029709,-1.2402155273144426,7.268069225786517,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,bias_calibrated_multi_wall,fraction,0.01,,33,11,11,8.857245134168028,7.048986429918069,5.970020933120594,14.82302999087936,17.35248797187069,-5.0130630440669135,7.302053840047593,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_extra,fraction,0.01,,33,11,11,9.013026655399944,7.268664537796624,6.243569133634239,14.969043073296817,17.21377122882319,4.979107262833974,7.512864989878619,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,wallpath_fewshot_residual_rf,fraction,0.01,,33,11,11,9.52616724409959,7.748704721543324,6.601480486972875,15.456303865783191,17.923031935721223,5.840566723757357,7.52566559899483,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,direct_extra_with_anchors,fraction,0.01,,33,11,11,10.124006215010121,8.420969838106224,7.8792440476190535,16.131220238095253,18.584190873015867,6.8522400248867035,7.452671231370956,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,direct_rf_with_anchors,fraction,0.01,,33,11,11,10.629432675977887,8.92863833272291,8.364241071428594,16.58587603519667,18.807228903388253,7.803046017999061,7.217846760228109,680,1608,7,680
leave_scenario_fewshot,holdout_Library,Library,log_distance,fraction,0.05,,11,11,11,15.372248976947382,13.909150869749745,14.359866752193994,22.393825198993298,24.382273002169907,13.5622573713595,7.236795810458159,653,1635,34,653
leave_scenario_fewshot,holdout_Library,Library,multi_wall_linear,fraction,0.05,,11,11,11,11.252263230491145,9.504727790906353,9.039614025522027,18.022626665505534,20.66501708640955,8.596552280769036,7.260352380722833,653,1635,34,653
