scenario,config,source_file,coord,pl_db,p_rx_dbm,derived_pl_db,pl_minus_derived_db,consistent_with_received_power
Comms,C1,PL_Comms_C1.csv,M-17,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-17,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-17,86.0,-76.0,86.0,0.0,True
Comms,C1,PL_Comms_C1.csv,P-17,82.0,-72.0,82.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-18,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-18,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-18,89.0,-79.0,89.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-18,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-18,96.0,-86.0,96.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-18,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-18,78.0,-68.0,78.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-18,86.0,-76.0,86.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-18,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-18,91.0,-81.0,91.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-18,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-18,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-18,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-18,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-18,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-19,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-19,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-19,82.0,-72.0,82.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-19,80.0,-70.0,80.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-19,89.0,-79.0,89.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-19,78.0,-68.0,78.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-19,99.0,-89.0,99.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-19,90.0,-80.0,90.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-19,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-19,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-19,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-19,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-19,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-20,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-20,93.0,-83.0,93.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-20,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,D-20,89.0,-79.0,89.0,0.0,True
Comms,C1,PL_Comms_C1.csv,E-20,98.0,-88.0,98.0,0.0,True
Comms,C1,PL_Comms_C1.csv,F-20,85.0,-75.0,85.0,0.0,True
Comms,C1,PL_Comms_C1.csv,G-20,82.0,-72.0,82.0,0.0,True
Comms,C1,PL_Comms_C1.csv,H-20,83.0,-73.0,83.0,0.0,True
Comms,C1,PL_Comms_C1.csv,I-20,92.0,-82.0,92.0,0.0,True
Comms,C1,PL_Comms_C1.csv,J-20,96.0,-86.0,96.0,0.0,True
Comms,C1,PL_Comms_C1.csv,K-20,88.0,-78.0,88.0,0.0,True
Comms,C1,PL_Comms_C1.csv,L-20,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,M-20,87.0,-77.0,87.0,0.0,True
Comms,C1,PL_Comms_C1.csv,N-20,97.0,-87.0,97.0,0.0,True
Comms,C1,PL_Comms_C1.csv,O-20,94.0,-84.0,94.0,0.0,True
Comms,C1,PL_Comms_C1.csv,A-21,83.0,-73.0,83.0,0.0,True
Comms,C1,PL_Comms_C1.csv,B-21,84.0,-74.0,84.0,0.0,True
Comms,C1,PL_Comms_C1.csv,C-21,83.0,-73.0,83.0,0.0,True
