verified_seed,transfer_condition,method,rmse,non_anchor_rmse,mae,p90_ae,los_rmse,nlos_rmse,high_wall_rmse,free_space_rmse,wall_region_rmse
11,Ant1-f2-f3 frequency shift,multi_wall,11.02437632907289,11.027194200811927,8.741313226699829,17.646935037612916,10.8554623919452,11.073474016548946,11.332023130961867,10.901260492792243,12.756078043739215
11,Ant1-f2-f3 frequency shift,multi_wall_residual_idw,6.617020435196258,6.65039563621341,4.6705585422515865,10.527893601417542,5.837140930045517,6.722463670192899,6.937746150220074,6.418371945491276,9.219027884418864
11,Ant1-f2-f3 frequency shift,wallpath_calibrated,6.20309952626276,6.228234130653361,4.480301270961761,10.251213952064514,2.851887621447213,6.3814849758739935,6.6285684514872445,6.069189926957819,8.190099886605415
11,Ant1-f2-f3 frequency shift,wallpath_extra,5.743576842705334,5.767729258047351,3.91254373216629,9.54671919965744,3.4804962182767203,5.901063993630456,6.12349196227455,5.569792547099353,8.192880563016383
11,Ant1-f2-f3 frequency shift,wallpath_rf,6.326265647897048,6.3478369293080945,4.198870600938797,10.397610116958619,3.6723254508678966,6.501461971628645,6.768024562024554,6.144550814099685,8.861984270412503
11,Ant2-Ant5 additional antennas,direct_extra_all_features,7.996854394169682,8.010102228320081,6.396343494057655,12.910016276637712,9.669680635226346,7.746490623223935,7.922081696318708,7.979970176430138,8.296550270185575
11,Ant2-Ant5 additional antennas,direct_rf_all_features,6.00468857729549,6.022839407233245,4.450832863971591,10.004478163818519,5.488385033783617,6.06015647409291,6.228947180755074,5.924789233824542,7.28008078377789
11,Ant2-Ant5 additional antennas,direct_rf_geometry,24.172028462831502,24.172411953879227,21.912597482005754,35.25639130115509,18.088561671509193,24.448971297921037,24.875799527237813,24.241258816282908,22.66721659906046
11,Ant2-Ant5 additional antennas,direct_rf_sparse_anchor,12.826192323330215,12.826777000564105,10.635008206367493,20.415379060407478,13.512721995384076,12.703195022213295,12.462002956500232,12.855612848182751,12.114742225378142
11,Ant2-Ant5 additional antennas,idw,6.319019295475968,6.3508906142132595,4.685478056445718,10.351064710418383,11.164994214806583,5.9910616891375446,5.974999482428481,6.252516679849578,7.443318537558498
11,Ant2-Ant5 additional antennas,log_distance,11.600143654282036,11.601051381473305,9.452511526197195,18.75427897880475,14.403418174252312,11.306042563425123,11.185563402466128,11.58395290824054,11.893836084148464
